Pandals,City,State,Address,Information,Year of Establishment,Website
Kasba Ganpati Pratishthan,Pune,Maharashtra,"Shree Kasba Ganapati Mandal, 159, Kasba Peth Rd, Durvankur Society, Phadke Haud, Kasba Peth, Pune, Maharashtra 411011","In the year 1630 AD, the queen Jijabai Bhosale arrived in Pune with her son Shivaji. Young Shivaji, who was only aged 12, was disturbed by the pathetic plight of the mavals. Shivaji vowed to liberate the mavals from the Mughals. At the same time, an idol of Lord Ganesh was found near the house of Vinayak Thakar, who used to reside close to the residence of the queen, Jijabai Bhosle. Jijabai perceived this as an auspicious moment and promptly built a temple, which is today known as the famous Shri Kasba Ganpati Mandir. Young Shivaji started building the empire of ‘Swarajya’ after this auspicious moment.",1630,-
Rajarampuri Shivaji Tarun Mandal,Kolhapur,Maharashtra,"Rajarampuri Shivaji Tarun Mandal, 1802, E Ward, Lane no. 2. Shree Apartment, Rajarampuri, Kolhapur, Maharashtra 416008","Before 40 years Rajarampuri Shivaji Tarun Mandal was one group of friends. There were only5 to 10 members in group. Then they started Ganesh festival at 2nd lane in Rajarampuri, Kolhapur. Each and every year they are creating different wood temples to entertain the people. Now after 40 years this community become one of the best community in Karveer area. Lot of people are coming for God Ganesh darshan from different locations. Now more members have joined this group",1972,https://rstm.in/
"Shri Shahunagar Mitra Mandal, Kolhapur",Kolhapur,Maharashtra,"Shri Shahunagar Mitra Mandal, Kolhapur, 21 feet Ganpati Idol, Pratibhanagar Main Rd, Shahunagar, Kolhapur, Maharashtra 416008",A 21 feet Ganpati Idol ,-,-
Laxmi Nagar Youth Association Ganesh Utsav Mandal,Nagpur,Maharashtra,"Laxminagar, Nagpur, Maharashtra",50-year-old Laxmi Nagar Youth Association Ganesh Utsav Mandal which has decorated the pandal with a theme of save water in 2019.Association President Rajesh Jaiswal informed that since last 50 years they have been welcoming Lord Ganesh. in 2019 year theme on rainwater harvesting was kept with an to deliver a social message to the masses on saving the precious water for the gen-next.,1969,-
"Shree Pragati Bal Ganesh Utsav Mandal, Sadar Nagpur",Nagpur,Maharashtra,"Shree Pragati Bal Ganesh Utsav Mandal, Sadar Nagpur, Opposite Jain Temple Marg, Sadar, Nagpur, Maharashtra 440001","Shree Pragati Bal Ganesh Utsav Mandal, Sadar Nagpur (Hindu temple) is located in Nagpur Division, Maharashtra, India. Nearby area or landmark is Sadar. It is famous for big and different Idols.",-,https://shree-pragati-bal-ganesh-utsav-mandal-sadar-nagpur.business.site/
Ajoba Ganpati Mandir,Solapur,Maharashtra,"Manacha Shree Ajoba Ganpati Mandir, MWG5+WFR, Guruwar Peth, Solapur, Maharashtra 413002",Solapur Ajoba Ganpati Mandir was established in 1885. The temple is a prepossessing construction and boasts a rich history of over 180 years. Construction is done in such a way that all the proceeding in the temple along with the Ganesh idol can be seen from outside.,1885,http://ajobaganapati.com/
Kasba Ganpati Pratishthan,Solapur,Maharashtra,"Kasba Ganpati Pratishthan, Upase Hospital, 1000, Balives Rd, Kasba, Solapur, Maharashtra 413001","Until 1925, Shri Kasba Ganpati Mandal celebrated the festival within the premises of the temple and from 1926 it has been celebrated in an enclosed mandap. Presently, the ten days of the festival is a platform for local artists to display their talents through various cultural programs thus allowing a large number of devotees to participate in the celebrations. On the last day, Shri Kasba Ganpati plays the leading role during the immersion procession",1926,-
Ekta Ganesh Utsav Mandal,Nagpur,Maharashtra,"VHB Shantinagar Colony, Prem Nagar, Nagpur, Maharashtra 440002","The speciality of this Ganesh idol is that it sits in a pandal which a replica of Mantralaya, Mumbai. Built during the year 1989, there are around 9 idols which are brought from Lalbaug Cha Raja. If the locals are to be believed, it is one of the largest idols in the district.",1989,-
Khairatabad Ganesh Pandal,Hyderabad,Telangana,"CF67+7HF, Indira Nagar, Khairtabad, Hyderabad, Telangana 500004","nspired by Bal Gangadhar Tilak, Singari Shankaraiah first established a 1 foot (0.30 m) Ganesh idol in 1954 at a temple in Khairatabad. The height of the constructed idol increased by one foot every year until 2014, where it reached 60 feet (18 m). The size was later reduced owing to the limitations of the route to Hussain Sagar lake and environmental concerns. The idol's peak height was 61 feet (19 m)[a] in 2019, thereby becoming the tallest idol of Ganesh in India that year.",1954,-
Balapur Ganesh Pandal,Hyderabad,Telangana,"Bus Stop, Yelmati Nagar, Balapur, Telangana 500005","The Balapur Ganesh is the oldest in the city and was installed in 1980 by the organizers. In the eighties, there were only a handful of Ganesh idols and till date, the Balapur Ganesh is the oldest idol that leads the annual Vinayaka procession to Hussainsagar.Installed in a mandapam set up in front of the Tahsildar office, the Balapur Ganesh is famous for its laddu auction.In the initial year 1994, the laddu auction fetched Rs. 450 and one Kolan Mohan Reddy paid the amount, next year he paid Rs. 4500 for it. The auction process attracted global attention in 2015 when it fetched Rs. 10.32 lakh, in 2016 – 14.65 lakh, and in 2021 it fetched Rs. 18.90 lakh.",1980,-
Tambdi Jogeshwari Ganeshotsav,Pune,Maharashtra,"Graamdevta Shree Tambdi Jogeshwari Mandir, 33 (A, Budhwar Peth Rd, Budhwar Peth, Pune, Maharashtra 411002","The Goddess Shree Tambdi Jogeshwari is known as the “Gramdevata” - Goddess of the city - of the Pune city in Maharashtra. The great Indian freedom fighter Shri. Lokmanya Tilak bestowed the honour of ""Manacha Dusara Ganapati"" - second among the most honoured - to Tambdi Jogeshwari Ganeshotsav Mandal in 1893. We are a socio-cultural organisation and have been organising the Ganesh Festival since 1893. As a socio-cultural organisation, we have contributed to the society through various social initiatives while maintaining our culture and traditions in the most disciplined manner.",1893,shreetambadijogeshwari.org
Maha Ganapati,Kolhapur,Maharashtra,"Pratiba Nagar Road, Ganapati Mandir, Rajarampuri Kolhapur, Kolhapur, Maharashtra 416008","Maha Ganapati of Kolhapur, a 21-foot idol of Sanyukt Chhatrapati Shivaji Maharaj Chowk Tarun mandal, which is famous across western Maharashtra much like the Lalbaugcha Raja Ganapati of Mumbai, reached its pandal on Thursday evening.",1814,-
Bengaluru Ganesh Utsava,Bengaluru,Karnataka,"Shree Vidyaranya Yuvaka Sangha, No - 33/05, Gangapa Complex DVG Road, Basavanagudi, Bengaluru, Karnataka 560004, Bengaluru, Karnataka 560004","The Bengaluru Ganesh Utsava, which has been held at the APS College Grounds in Basavanagudi for about 5 decades by Shree Vidyaranya Yuvaka Sangha, is a major cultural festival in South Bangalore. The grandeur, style, and elegance of The Bengaluru Ganesh Utsava have been unrivalled since its inception.",1962,http://bgu.co.in/
Nashik Cha Raja,Nashik,Maharashtra,"Nashik Cha Raja, 2Q4P+GJJ, Ghankar Ln, Raviwar Peth, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001","Nashik Cha Raja is headquartered at Ghankar Ln, Raviwar Peth, Raviwar Karanja, Panchavati, Nashik, Maharashtra 422001, India. Nashik Cha Raja operates in the Hindu temple industry with a customer rating of 4.8.",-,-
Shree Ganesh Utsav Mandal Thane,Thane,Maharashtra,"Shreerang Vidyalaya and Junior College of Science and Commerce, 6X4J+R47, P.P. Hathyogi Nikam Guruji Marg, Shrirang Society, Thane, Maharashtra 400601","The mandal, which started in 1920, is one of the oldest Ganpati mandal and continues to have environment-friendly celebrations and decorations. This pandal at Lokmanya Aali in Thane has not changed its traditional way of celebrations in 100 years. Started by freedom fighter Lokmanya Tilak, it is the oldest in the city.",1971,http://www.shreerangganeshotsav.com/about.html
Thanyacha Raja,Thane,Maharashtra,"Thanyacha Raja, 5XW8+733, Narveer Tanaji Sarvajanik Ganeshotsav Mitra Mandal, Panch Pakhdi, Thane West, Thane, Maharashtra 400602","The enthusiastic activists of Narveer Tanaji Public Ganeshotsav Mandal are trying to take the cause of enlightenment to heaven with the support of well-wishers and friends. Over the past 43 years, the Narveer Tanaji Public Ganeshotsav Mandal has maintained the tradition of enlightening decorations by receiving numerous awards. May social equality, integration and country service continue to be done by Narveer Tanaji Public Ganeshotsav Mandal in the future; May a united society be built through the board, may the strength come into our wrists to create hands that build and not raise, this is the prayer before Vignaharti!
",1979,http://thanyacharaja.com/
Dharampeth sarvajanik ganeshotsav,Nagpur,Maharashtra,"Dharampeth, Nagpur, Maharashtra 440010","Nagpur has been celebrating the Sarvajanik Ganesh festivals for nearly 60 years now. Though the pandals and idols are not as big as that in Pune and Mumbai, the Dharampeth Sarvajanik Ganeshotsav is the biggest pandal in Nagpur. This year, the Ganesha idol looks different, with various smaller idols making up the bigger statue to rank among the most innovative pandals on display.",1962,-
Sarvajanik Ganeshotsav Vishwast Mandal-Mapusa,Mapusa,Goa,"Mapusa sarvajanik Ganesh utsav, Shop, 34, Market Rd, Mapusa Municipal Market, Mapusa, Goa 403507","People offer many things to lord Ganesh after their wishes are fulfilled. ""There are Christian families who offer coconuts to lord Ganesh and one Muslim brother every year offers Modaks, which we distribute to devotees,"" he said.  annual turnover through donation coupons and other source touches to around 20 lakhs, which they use for social cause. ""They give scholarship to 20 students of each school from Mapusa,""",1962,-
Omkar Sarvajanik Ganeshutsav Mandal- Malwani Cha Shree,Mumbai,Maharashtra,"Omkar Sarvajanik Ganeshutsav Mandal, 204-1, Malad, BMC Colony, Rathodi, Malad West, Mumbai, Maharashtra 400095","Knowing that Hindutva is the identity of this country, Hindutva is the tradition of this country, Lokmanya Tilak established a public Shree Ganeshotsava festival in 1967, commemorating the work of that great man, by organizing a strong organization of the Hindu society composed of Atharapgarh tribes to fight against the British rule. Established .Omkar Public Ganeshotsav Mandal is at this position today with the cooperation of all of us due to the twin flow of Sri Ganaraya's desire and moderate and meritorious workers as our ornament. It is the title of our board to carry forward the flag of social, religious, cultural and constructive work without expecting any fruit. Ganesha idol of this mandal is well-known sculptor Shri. It is realized by Rajan Khatu. Through this page, you will be informed and updated about all the public festivals celebrated by our group every time. ",-,-
Bhadrakalicha Shrimant Raja,Nashik,Maharashtra,"Bhadrakalicha Shrimant Raja, 2Q2Q+MMX, Bhadrakali, Shalimar, Nashik, Maharashtra 422001","This is pandal is also the temple of Goddess Bhadrakali who is said to fulfil all the wishes of her devotees. Bhadrakali temple was built hundreds of years back. Due to the fame of this temple, during the aagman sohala of Ganpati, you will witness loud dhol-tasha along with celebrations in massive amounts. The men are dressed in kurta and sadra along with a pheta or turban tied on the head.",-,-
